STB,Analista,Turno,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 46 - VENE HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 47 - ESPORTSM HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 49 - Cinecan+ HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 50 - Univers HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 51 - Studio Uni HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 52 - SONY MOV HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 53 - TNT HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 54 - TCM","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 55 - Space HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 56 - Cinemax HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 57 - AMC HD 57","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 58 - MOVIEFE","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 59 - DHE HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 60 - Golden HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 61 - Golden Edge","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 62 - Europa HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 63 - Eurochanne","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 65 - DePelicula","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 66 - Multiprem","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 67 - CINELAT HD","V OK","A1 OK","A2 OK","L OK","E OK",""
"Cisco PDS2100","Lucius","T1","12/7/2026, 18:51:02","Canal 68 - Dcomedia","V OK","A1 OK","A2 OK","L OK","E OK",""
